iter	Passed	Remaining
583	13371	8449
584	13400	8429
585	13418	8403
586	13434	8376
587	13457	8353
588	13486	8334
589	13503	8307
590	13534	8289
591	13559	8268
592	13587	8248
593	13603	8221
594	13632	8202
595	13659	8181
596	13684	8160
597	13699	8132
598	13728	8113
599	13757	8094
600	13773	8066
601	13802	8047
602	13830	8027
603	13847	8001
604	13862	7974
605	13892	7954
606	13919	7934
607	13934	7906
608	13950	7879
609	13979	7860
610	14009	7841
611	14025	7814
612	14042	7788
613	14059	7762
614	14079	7738
615	14096	7712
616	14112	7685
617	14138	7664
618	14154	7637
619	14180	7616
620	14195	7589
621	14210	7562
622	14226	7535
623	14242	7509
624	14258	7482
625	14274	7456
626	14302	7436
627	14318	7410
628	14335	7384
629	14352	7358
630	14368	7332
631	14384	7306
632	14411	7285
633	14427	7259
634	14444	7233
635	14460	7207
636	14488	7187
637	14503	7160
638	14519	7134
639	14538	7110
640	14556	7085
641	14572	7059
642	14596	7037
643	14612	7011
644	14629	6986
645	14660	6967
646	14691	6948
647	14721	6929
648	14737	6903
649	14756	6878
650	14779	6856
651	14797	6831
652	14812	6804
653	14831	6780
654	14847	6755
655	14876	6735
656	14893	6710
657	14908	6684
658	14926	6659
659	14943	6633
660	14959	6608
661	14979	6584
662	15010	6565
663	15047	6549
664	15087	6533
665	15104	6508
666	15123	6484
667	15153	6465
668	15170	6439
669	15199	6420
670	15229	6400
671	15262	6382
672	15279	6357
673	15297	6332
674	15315	6307
675	15340	6285
676	15358	6261
677	15374	6235
678	15397	6213
679	15411	6187
680	15427	6161
681	15453	6140
682	15471	6116
683	15486	6090
684	15508	6067
685	15524	6042
686	15537	6016
687	15553	5990
688	15568	5965
689	15591	5942
690	15613	5919
691	15628	5894
692	15643	5869
693	15657	5843
694	15684	5822
695	15712	5801
696	15730	5777
697	15746	5752
698	15773	5731
699	15789	5706
700	15816	5685
701	15830	5660
702	15848	5636
703	15863	5610
704	15883	5587
705	15898	5562
706	15913	5537
707	15929	5512
708	15948	5488
709	15963	5463
710	15979	5438
711	15995	5414
712	16010	5389
713	16027	5364
714	16042	5339
715	16057	5315
716	16075	5291
717	16091	5266
718	16123	5247
719	16147	5225
720	16182	5207
721	16211	5186
722	16257	5171
723	16279	5149
724	16299	5125
725	16330	5106
726	16347	5081
727	16368	5058
728	16383	5034
729	16412	5013
730	16432	4990
731	16450	4966
732	16471	4943
733	16485	4918
734	16512	4897
735	16530	4873
736	16545	4849
737	16561	4824
738	16575	4799
739	16591	4775
740	16622	4755
741	16637	4731
742	16658	4708
743	16689	4688
744	16716	4667
745	16731	4642
746	16748	4618
747	16776	4597
748	16792	4573
749	16806	4548
750	16821	4524
751	16849	4503
752	16870	4480
753	16897	4459
754	16925	4438
755	16945	4415
756	16961	4391
757	16981	4368
758	17013	4348
759	17042	4327
760	17062	4304
761	17092	4284
762	17121	4263
763	17138	4239
764	17161	4217
765	17180	4194
766	17195	4169
767	17210	4145
768	17241	4125
769	17260	4102
770	17277	4078
771	17293	4054
772	17311	4031
773	17341	4010
774	17358	3986
775	17375	3963
776	17393	3939
777	17421	3918
778	17440	3895
779	17458	3872
780	17477	3848
781	17494	3825
782	17523	3804
783	17552	3783
784	17569	3760
785	17592	3737
786	17607	3713
787	17624	3690
788	17640	3666
789	17657	3643
790	17672	3619
791	17695	3597
792	17711	3573
793	17728	3550
794	17757	3529
795	17786	3508
796	17805	3485
797	17821	3461
798	17839	3438
799	17855	3414
800	17871	3391
801	17901	3370
802	17932	3349
803	17951	3326
804	17965	3302
805	17994	3281
806	18009	3258
807	18024	3234
808	18040	3211
809	18056	3187
810	18071	3164
811	18100	3143
812	18129	3121
813	18157	3100
814	18173	3077
815	18188	3053
816	18216	3032
817	18245	3011
818	18260	2987
819	18287	2966
820	18318	2945
821	18334	2921
822	18356	2899
823	18374	2876
824	18390	2853
825	18410	2830
826	18439	2809
827	18456	2786
828	18472	2763
829	18487	2739
830	18503	2716
831	18519	2693
832	18537	2670
833	18558	2647
834	18572	2624
835	18587	2601
836	18603	2578
837	18633	2557
838	18661	2535
839	18689	2514
840	18714	2492
841	18746	2471
842	18777	2450
843	18794	2427
844	18814	2404
845	18830	2381
846	18847	2358
847	18865	2335
848	18881	2312
849	18897	2289
850	18913	2266
851	18931	2244
852	18945	2221
853	18975	2199
854	18992	2176
855	19009	2154
856	19026	2131
857	19044	2108
858	19060	2085
859	19076	2062
860	19092	2040
861	19114	2017
862	19145	1996
863	19163	1974
864	19193	1952
865	19215	1930
866	19236	1908
867	19254	1885
868	19284	1864
869	19300	1841
870	19327	1819
871	19345	1797
872	19371	1775
873	19385	1752
874	19403	1729
875	19432	1708
876	19449	1685
877	19465	1662
878	19496	1641
879	19515	1618
880	19532	1596
881	19548	1573
882	19564	1550
883	19581	1528
884	19596	1505
885	19611	1483
886	19625	1460
887	19638	1437
888	19653	1414
889	19670	1392
890	19685	1369
891	19710	1347
892	19723	1325
893	19740	1302
894	19755	1280
895	19769	1257
896	19795	1235
897	19810	1213
898	19834	1191
899	19848	1168
900	19864	1146
901	19880	1124
902	19897	1101
903	19914	1079
904	19932	1057
905	19963	1035
906	19980	1013
907	20011	991
908	20044	970
909	20067	948
910	20088	926
911	20118	904
912	20135	882
913	20162	860
914	20189	838
915	20217	816
916	20233	794
917	20249	772
918	20264	749
919	20281	727
920	20304	705
921	20330	683
922	20352	661
923	20366	639
924	20393	617
925	20410	595
926	20427	572
927	20447	550
928	20463	528
929	20490	506
930	20514	484
931	20541	462
932	20569	440
933	20587	418
934	20614	396
935	20630	374
936	20659	352
937	20686	330
938	20706	308
939	20735	286
940	20752	264
941	20768	242
942	20784	220
943	20806	198
944	20821	176
945	20838	154
946	20856	132
947	20877	110
948	20905	88
949	20933	66
950	20960	44
951	20974	22
952	20991	0
